listing_date,model_name,city,mileage_kmpl,age_years,kms_driven,owner,price_inr_thousands,fuel_pct_change_1yr
2026-01-21,Hero HF Deluxe,Delhi,68,1.6,8685,1st Owner,53.8,4.54
2022-04-09,Suzuki Access 125,Mumbai,50,1.5,8207,2nd Owner,61.2,7.06
2022-10-20,Suzuki Access 125,Mumbai,50,6.5,48257,1st Owner,29.1,8.69
2023-12-12,Bajaj Pulsar 150,Bengaluru,45,0.8,4230,1st Owner,101.1,6.13
2026-03-26,Hero HF Deluxe,Delhi,68,2.0,9532,2nd Owner,46.0,4.4
2024-07-20,Suzuki Access 125,Delhi,50,2.3,10793,3rd Owner,50.5,10.0
2025-07-16,Bajaj Pulsar 150,Delhi,45,6.1,42531,1st Owner,38.7,4.84
2022-08-15,Bajaj Platina,Bengaluru,62,5.4,37621,2nd Owner,28.8,11.32
2025-07-10,Honda Activa 6G,Delhi,55,6.2,54081,1st Owner,25.9,4.84
2023-01-28,Bajaj Pulsar 150,Bengaluru,45,7.4,48667,2nd Owner,29.6,0.61
2023-08-10,Royal Enfield Classic 350,Delhi,35,6.8,49858,2nd Owner,57.8,-0.97
2023-04-24,Suzuki Access 125,Bengaluru,50,6.0,35976,3rd Owner,26.5,-1.81
2025-12-12,Royal Enfield Classic 350,Mumbai,35,1.3,7395,1st Owner,156.1,4.41
2025-09-08,Royal Enfield Classic 350,Delhi,35,2.0,9137,2nd Owner,138.4,4.73
2023-05-13,Yamaha FZ-S,Bengaluru,42,4.5,20884,1st Owner,59.6,-2.68
2026-04-10,Yamaha FZ-S,Bengaluru,42,4.9,25027,2nd Owner,51.7,4.3
2024-06-03,Suzuki Access 125,Delhi,50,6.1,25151,1st Owner,33.9,10.02
2024-02-09,Royal Enfield Classic 350,Mumbai,35,2.8,23929,1st Owner,125.3,9.4
2026-04-28,Hero Splendor Plus,Delhi,65,6.9,50136,1st Owner,23.1,4.46
2024-09-15,Suzuki Access 125,Bengaluru,50,5.4,22737,2nd Owner,34.3,4.95
2025-10-25,TVS Jupiter,Mumbai,52,1.4,7067,2nd Owner,58.0,4.43
2023-05-19,KTM Duke 200,Mumbai,32,5.2,21662,1st Owner,89.9,-2.87
2022-12-07,Honda Activa 6G,Delhi,55,6.0,38047,2nd Owner,27.1,4.4
2024-05-14,Hero Splendor Plus,Mumbai,65,5.2,35207,1st Owner,32.5,9.4
2023-04-14,Royal Enfield Classic 350,Mumbai,35,7.1,58089,2nd Owner,54.0,-1.36
2022-12-06,Honda Activa 6G,Mumbai,55,6.0,41628,1st Owner,29.4,4.16
2022-12-08,Royal Enfield Classic 350,Mumbai,35,5.0,42794,1st Owner,82.2,4.08
2026-01-07,Yamaha FZ-S,Mumbai,42,2.4,10238,1st Owner,78.3,4.32
2024-02-01,Suzuki Access 125,Mumbai,50,7.3,39792,1st Owner,25.8,9.41
2023-02-25,KTM Duke 200,Mumbai,32,5.7,24023,2nd Owner,74.0,0.6
2025-12-24,Bajaj Platina,Delhi,62,6.3,43029,3rd Owner,21.3,4.64
2026-04-05,Yamaha FZ-S,Delhi,42,5.1,25809,1st Owner,50.3,4.42
2024-02-21,Royal Enfield Classic 350,Bengaluru,35,5.5,41635,2nd Owner,75.6,9.7
2024-06-13,Hero HF Deluxe,Delhi,68,2.3,20695,1st Owner,45.5,9.99
2023-01-02,TVS Jupiter,Bengaluru,52,1.4,11964,1st Owner,58.6,0.55
2022-12-07,Royal Enfield Classic 350,Mumbai,35,4.0,29082,3rd Owner,84.8,4.11
2026-03-08,Bajaj Platina,Bengaluru,62,4.4,32421,1st Owner,35.1,4.25
2022-02-25,Royal Enfield Classic 350,Mumbai,35,3.3,13466,2nd Owner,109.2,5.24
2024-04-30,Bajaj Pulsar 150,Delhi,45,5.4,37633,1st Owner,43.7,10.07
2026-03-07,Bajaj Platina,Bengaluru,62,3.0,24646,2nd Owner,41.2,4.26
2024-08-24,TVS Jupiter,Delhi,52,6.2,32149,2nd Owner,28.6,5.22
2025-07-10,KTM Duke 200,Bengaluru,32,1.6,10704,1st Owner,140.6,4.66
2022-08-30,KTM Duke 200,Bengaluru,32,5.8,49807,2nd Owner,60.9,10.94
2022-10-02,TVS Jupiter,Delhi,52,3.6,23348,1st Owner,43.5,10.72
2024-02-09,Honda Activa 6G,Mumbai,55,2.0,16395,3rd Owner,49.2,9.4
2025-08-17,Royal Enfield Classic 350,Delhi,35,3.6,30106,1st Owner,102.9,4.81
2023-02-26,Hero Splendor Plus,Bengaluru,65,0.9,5766,1st Owner,63.9,0.61
