date,city,petrol_price,diesel_price
2021-01-01,Delhi,81.53,72.35
2021-01-02,Delhi,81.54,72.36
2021-01-03,Delhi,81.55,72.37
2021-01-04,Delhi,81.57,72.39
2021-01-05,Delhi,81.57,72.39
2021-01-06,Delhi,81.59,72.41
2021-01-07,Delhi,81.6,72.42
2021-01-08,Delhi,81.6,72.42
2021-01-09,Delhi,81.62,72.44
2021-01-10,Delhi,81.64,72.45
2021-01-11,Delhi,81.65,72.46
2021-01-12,Delhi,81.66,72.47
2021-01-13,Delhi,81.67,72.49
2021-01-14,Delhi,81.69,72.5
2021-01-15,Delhi,81.7,72.51
2021-01-16,Delhi,81.7,72.51
2021-01-17,Delhi,81.72,72.52
2021-01-18,Delhi,81.73,72.54
2021-01-19,Delhi,81.74,72.55
2021-01-20,Delhi,81.75,72.55
2021-01-21,Delhi,81.77,72.58
2021-01-22,Delhi,81.79,72.59
2021-01-23,Delhi,81.8,72.6
2021-01-24,Delhi,81.82,72.62
2021-01-25,Delhi,81.84,72.63
2021-01-26,Delhi,81.84,72.64
2021-01-27,Delhi,81.85,72.65
2021-01-28,Delhi,81.84,72.64
2021-01-29,Delhi,81.87,72.66
2021-01-30,Delhi,81.88,72.67
2021-01-31,Delhi,81.88,72.68
2021-02-01,Delhi,81.9,72.7
2021-02-02,Delhi,81.9,72.7
2021-02-03,Delhi,81.92,72.71
2021-02-04,Delhi,81.92,72.71
2021-02-05,Delhi,81.93,72.72
2021-02-06,Delhi,81.93,72.72
2021-02-07,Delhi,81.95,72.74
2021-02-08,Delhi,81.98,72.77
2021-02-09,Delhi,81.99,72.78
2021-02-10,Delhi,82.01,72.79
2021-02-11,Delhi,82.02,72.81
2021-02-12,Delhi,82.04,72.82
2021-02-13,Delhi,82.05,72.83
2021-02-14,Delhi,82.05,72.83
2021-02-15,Delhi,82.05,72.83
2021-02-16,Delhi,82.06,72.84
2021-02-17,Delhi,82.09,72.87
2021-02-18,Delhi,82.11,72.88
2021-02-19,Delhi,82.12,72.89
2021-02-20,Delhi,82.14,72.92
2021-02-21,Delhi,82.16,72.93
2021-02-22,Delhi,82.17,72.94
2021-02-23,Delhi,82.19,72.96
2021-02-24,Delhi,82.2,72.97
2021-02-25,Delhi,82.21,72.98
2021-02-26,Delhi,82.21,72.98
2021-02-27,Delhi,82.23,72.99
2021-02-28,Delhi,82.24,73.01
2021-03-01,Delhi,82.26,73.03
2021-03-02,Delhi,82.27,73.04
2021-03-03,Delhi,82.27,73.03
2021-03-04,Delhi,82.28,73.05
2021-03-05,Delhi,82.31,73.07
2021-03-06,Delhi,82.32,73.08
2021-03-07,Delhi,82.32,73.08
2021-03-08,Delhi,82.33,73.09
2021-03-09,Delhi,82.33,73.09
2021-03-10,Delhi,82.34,73.1
2021-03-11,Delhi,82.35,73.11
2021-03-12,Delhi,82.37,73.13
2021-03-13,Delhi,82.38,73.14
2021-03-14,Delhi,82.4,73.15
2021-03-15,Delhi,82.42,73.17
2021-03-16,Delhi,82.45,73.19
2021-03-17,Delhi,82.46,73.21
2021-03-18,Delhi,82.47,73.22
2021-03-19,Delhi,82.49,73.24
2021-03-20,Delhi,82.5,73.25
2021-03-21,Delhi,82.5,73.25
2021-03-22,Delhi,82.52,73.26
2021-03-23,Delhi,82.54,73.28
2021-03-24,Delhi,82.56,73.3
2021-03-25,Delhi,82.56,73.3
2021-03-26,Delhi,82.57,73.31
2021-03-27,Delhi,82.58,73.32
2021-03-28,Delhi,82.59,73.33
2021-03-29,Delhi,82.61,73.35
2021-03-30,Delhi,82.64,73.37
2021-03-31,Delhi,82.66,73.39
2021-04-01,Delhi,82.67,73.4
2021-04-02,Delhi,82.69,73.42
2021-04-03,Delhi,82.71,73.43
2021-04-04,Delhi,82.72,73.44
2021-04-05,Delhi,82.73,73.45
2021-04-06,Delhi,82.74,73.46
2021-04-07,Delhi,82.77,73.49
2021-04-08,Delhi,82.79,73.51
2021-04-09,Delhi,82.8,73.52
2021-04-10,Delhi,82.81,73.53
2021-04-11,Delhi,82.81,73.53
2021-04-12,Delhi,82.83,73.55
2021-04-13,Delhi,82.85,73.56
2021-04-14,Delhi,82.85,73.56
2021-04-15,Delhi,82.86,73.58
2021-04-16,Delhi,82.87,73.59
2021-04-17,Delhi,82.9,73.61
2021-04-18,Delhi,82.91,73.62
2021-04-19,Delhi,82.94,73.64
2021-04-20,Delhi,82.95,73.65
2021-04-21,Delhi,82.96,73.66
2021-04-22,Delhi,82.97,73.68
2021-04-23,Delhi,82.99,73.7
2021-04-24,Delhi,83.01,73.71
2021-04-25,Delhi,83.01,73.72
2021-04-26,Delhi,83.03,73.73
2021-04-27,Delhi,83.04,73.74
2021-04-28,Delhi,83.05,73.75
2021-04-29,Delhi,83.06,73.76
2021-04-30,Delhi,83.08,73.78
2021-05-01,Delhi,83.09,73.79
2021-05-02,Delhi,83.1,73.8
2021-05-03,Delhi,83.12,73.81
2021-05-04,Delhi,83.13,73.83
2021-05-05,Delhi,83.15,73.84
2021-05-06,Delhi,83.16,73.85
2021-05-07,Delhi,83.18,73.87
2021-05-08,Delhi,83.2,73.88
2021-05-09,Delhi,83.22,73.9
2021-05-10,Delhi,83.23,73.92
2021-05-11,Delhi,83.24,73.92
2021-05-12,Delhi,83.25,73.93
2021-05-13,Delhi,83.26,73.94
2021-05-14,Delhi,83.27,73.95
2021-05-15,Delhi,83.28,73.96
2021-05-16,Delhi,83.28,73.96
2021-05-17,Delhi,83.29,73.97
2021-05-18,Delhi,83.29,73.97
2021-05-19,Delhi,83.29,73.97
2021-05-20,Delhi,83.31,73.99
2021-05-21,Delhi,83.32,73.99
2021-05-22,Delhi,83.33,74.01
2021-05-23,Delhi,83.34,74.02
2021-05-24,Delhi,83.35,74.02
2021-05-25,Delhi,83.35,74.03
2021-05-26,Delhi,83.36,74.03
2021-05-27,Delhi,83.37,74.04
2021-05-28,Delhi,83.38,74.05
2021-05-29,Delhi,83.39,74.06
2021-05-30,Delhi,83.39,74.06
2021-05-31,Delhi,83.4,74.07
